MA_CN,LOAI_TIEN,MA_TK,TEN_TK,LOAI_BT,DN_DAUKY,DC_DAUKY,SBT_NO,ST_GHINO,SBT_CO,ST_GHICO,DN_CUOIKY,DC_CUOIKY
"7808","VND","8531  ","Nộp bảo hiểm xã hội","'D","90200268               ","0                      ","0     ","0                      ","0     ","0                      ","90200268               ","0                      "
"7808","VND","853101","Nộp bảo hiểm xã hội","'D","90200268               ","0                      ","0     ","0                      ","0     ","0                      ","90200268               ","0                      "
"7808","VND","8532  ","Nộp bảo hiểm y tế","'D","15462900               ","0                      ","0     ","0                      ","0     ","0                      ","15462900               ","0                      "
"7808","VND","853201","Nộp bảo hiểm y tế","'D","15462900               ","0                      ","0     ","0                      ","0     ","0                      ","15462900               ","0                      "
"7808","VND","8534  ","Nộp kinh phí công đoàn","'D","10308600               ","0                      ","0     ","0                      ","0     ","0                      ","10308600               ","0                      "
"7808","VND","853401","Nộp kinh phí công đoàn","'D","10308600               ","0                      ","0     ","0                      ","0     ","0                      ","10308600               ","0                      "
"7808","VND","8539  ","Các khoản chi đóng góp khác theo chế độ","'D","5154300                ","0                      ","0     ","0                      ","0     ","0                      ","5154300                ","0                      "
"7808","VND","853901","Các khoản chi đóng góp khác theo chế độ","'D","5154300                ","0                      ","0     ","0                      ","0     ","0                      ","5154300                ","0                      "
"7808","VND","856   ","Chi ăn ca cho cán bộ, nhân viên","'D","44511287               ","0                      ","0     ","0                      ","0     ","0                      ","44511287               ","0                      "
"7808","VND","8560  ","Chi ăn ca cho cán bộ, nhân viên","'D","44511287               ","0                      ","0     ","0                      ","0     ","0                      ","44511287               ","0                      "
"7808","VND","856001","Chi ăn ca cho cán bộ, nhân viên","'D","44511287               ","0                      ","0     ","0                      ","0     ","0                      ","44511287               ","0                      "
"7808","VND","859   ","Chi khác cho cán bộ, nhân viên","'D","4190000                ","0                      ","0     ","0                      ","0     ","0                      ","4190000                ","0                      "
"7808","VND","8590  ","Chi khác cho cán bộ, nhân viên","'D","4190000                ","0                      ","0     ","0                      ","0     ","0                      ","4190000                ","0                      "
"7808","VND","859009","Chi khác cho cán bộ, nhân viên","'D","4190000                ","0                      ","0     ","0                      ","0     ","0                      ","4190000                ","0                      "
"7808","VND","86    ","Chi cho hoạt động quản lý và công vụ","'D","331784901              ","0                      ","1     ","8000000                ","0     ","0                      ","339784901              ","0                      "
"7808","VND","861   ","Chi về vật liệu và giấy tờ in","'D","49638061               ","0                      ","0     ","0                      ","0     ","0                      ","49638061               ","0                      "
"7808","VND","8611  ","Vật liệu văn phòng","'D","27917500               ","0                      ","0     ","0                      ","0     ","0                      ","27917500               ","0                      "
"7808","VND","861101","Vật liệu văn phòng","'D","27917500               ","0                      ","0     ","0                      ","0     ","0                      ","27917500               ","0                      "
"7808","VND","8612  ","Giấy tờ in","'D","1348000                ","0                      ","0     ","0                      ","0     ","0                      ","1348000                ","0                      "
"7808","VND","861201","Giấy tờ in","'D","1348000                ","0                      ","0     ","0                      ","0     ","0                      ","1348000                ","0                      "
